"k_page_title"	"k_page_name"	"tips"	"statuss"	"lat"	"lon"	"mazais_lv"	"mazais_en"	"garums"	"datums"	"foto"	"apraksts_lv"	"apraksts_en"	"featured_image"	"my_image_thumb"
"Aņņi"	"anni"	"pikniks"	"parbaudits"	"57.69363"	"26.17677"	"Laivotāju atpūtas vieta ar galdu, ugunskura vietu, grilu. Ir iespēja piebraukt ar auto, kā arī piekļūt upei ar laivām. Ir ļoti daudz vietu teltīm, tāpēc derēs arī ja vietā ir kādi citi nakšņotāji."	"Boating rest place with firepit, grill, table and plenty of space for tents, so you can use it even if there are other people staying here. The place has road access and good river access for boating."		"2017-07-23"					
"Rīvas loki"	"rivas-loki"	"taka"	"neparbaudits"	"56.97031"	"21.3481"	"Dabas taka &quot;Rīvas loki&quot; sākas pie Ulmales-Labraga luterāņu baznīcas un vijas 3 kilometrus augšup, lejup pa Rīvas upes lejteces gleznaino senleju."	"The Rivas river bends trail starts at the Ulmale-Labrags protestant church and leads 3 along the river Riva valley."	"3"			"<p>Rīva &scaron;eit plūst kanjonveidīgā gravā, kuras dziļums saniedz 12 metrus. Skatam paveras neskaitāmi upes līkloči un stāvie krasta atsegumi. Gaiss &scaron;eit ir neparasts, pilns ar jūras un priežu smaržu. Jūs netraucēti varēsiet baudīt klusumu un mieru, vērojot krā&scaron;ņos dabas skatus un upes rāmo plūdumu. Ja būsiet uzmanīgi, var paveikties ieraudzīt zivju dzenīti vai melno stārķi! Taka ir marķēta ar zaļu krāsu.</p>

<p>Mar&scaron;ruts ir līnijveida, atgrie&scaron;anās iespējama pa ceļu.&nbsp;</p>"			
"Ziemassvētku kauju taka"	"ziemassvetku-kauju-taka"	"taka"	"parbaudits"	"56.82956"	"23.70139"	"Taka 7.2 km garumā dabā atzīmēta ar sarkanas krāsas norādēm (numurētām bultām) un sarkanas krāsas atzīmēm uz kokiem."	"A 7.2 km long walk around the woods where the Christmas war encounters took place in 1916. The Christmas battles took place from December 23 until December 29, 1916"	"7.2"	"2015-09-02"	"<img src=""https://dodies.lv/img/image/takas/ziemassvetku-1.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-2.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-3.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-4.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-5.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-6.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-7.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-8.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-9.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-10.jpg""/>
<img src=""https://dodies.lv/img/image/takas/ziemassvetku-11.jpg""/>"	"<p>Taka sākas pie Mangaļu mājām, kurās ierīkots muzejs par godu 1916. gada Ziemassvētku kaujām. Pati taka ir visai gara, taču tā kā daļa no tās (īpa&scaron;i tālākais gals) ved pa meža pla&scaron;ajiem ceļiem un nav īpa&scaron;i interesanta, to iespējams saīsināt un pieturēties pie rajona tuvāk muzejam. Pats muzejs arī interesants un ieteicams iegriezties.&nbsp;</p>

<p>Takas mar&scaron;ruts plānots pa 1.latvie&scaron;u strēlnieku brigādes uzbrukuma ceļu 1917.gada 5.janvārī. Takas mar&scaron;ruts piesaistīts interesantākiem objektiem, kas saglabāju&scaron;ies līdz mūsdienām un apmeklētājiem ļaus labāk izprast Ziemassvētku kauju vietu saglabātības unikalitāti. Informācijai par objektiem uzstādītas informatīvas plan&scaron;etes 13 vietās, kas ļaus pla&scaron;ākai sabiedrības daļai iepazīt vēstures liecības (fortifikācijas būvju paliekas, vēsturiskas inženiertehniskas būves un precīzi identificējamas vēsturisku notikumu vietas), kuras līdz &scaron;im bieži vien palika informatīvā un praktiskā ziņā nepieejamas. Takas mar&scaron;ruts un sīkāks apraksts &ndash;<a href=""http://www.karamuzejs.lv""> www.karamuzejs.lv</a> vai Ziemassvētku kauju muzejā</p>"	"<p>The Christmas battles took place from December 23 until December 29, 1916. The trail begins at the museum dedicated to this topic. You can shorten the walk if you want to, as some of it goes along straight forest roads which are sometimes not all that interesting. The area near the museum is the most interesting here. More information about the museum and the trail in the homepage&nbsp;<a href=""http://www.karamuzejs.lv"">www.karamuzejs.lv</a></p>"	"http://dodies.lv/img/image/takas/ziemassvetku-12.jpg"	"http://dodies.lv/img/image/takas/ziemassvetku-12-600x400.jpg"
"Žagare Ozo takas"	"zagare-ozo-takas"	"taka"	"parbaudits"	"56.35123"	"23.21444"	"Žagares osu taka ved pāri Žageres osam un tālāk no piknika vietas un informācijas stendiem apvijas apkārt garajam Žvelgaiču ezeram."	"The Ozo trail first takes you on top of the esker and then leads you around the Žvelgaiču lake."	"3.6"	"2016-08-14"	"<img src=""https://dodies.lv/img/image/lietuva/zagares-ozo-pesciuju-pazintinio-mokomojo-ir-poilsio-tako-schema_gurjcbrf.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-01.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-02.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-03.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-04.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-05.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-06.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-07.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-08.jpg""/>
<img src=""https://dodies.lv/img/image/lietuva/ozas-09.jpg""/>"	"<p>Žagares osu taka ved no ceļa malā eso&scaron;ās auto stāvvietas pāri osam un tālāk no piknika vietas un informācijas stendiem apvijas apkārt garajam Žvelgaiču ezeram (kur&scaron; patiesībā esot dīķis). Taka ir interesanta, tajā ir vairāki tiltiņi, brīžiem tā iet pa ceļu, tad pa mežu un visbeidzot pa pludmali. Pa ceļam ir vairākas piknika vietas un kopumā pārgājiens ir ļoti interesants. Varam ieteikt.&nbsp;</p>"	"<p>This is a 3.6km walk around the Ozo esker. Eskers are glaciofluvial gravel and sand formations which consist of relatively sorted material, often forming ridges over 20 meters high. In terms of ecological site factors they are more variable than the surrounding forest on flatter ground. The particular trail first takes you on top of the esker and then leads you around the Žvelgaiču lake, which is actually a kind of a pond. The trail is interesting and has plenty of picnic areas along the way. We recommend it.&nbsp;</p>"	"http://dodies.lv/img/image/lietuva/ozas-10.jpg"	"http://dodies.lv/img/image/lietuva/ozas-10-600x400.jpg"
"Puodžių"	"puodiu"	"pikniks"	"neparbaudits"	"54.3554124507"	"24.6331471931"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Valkininkumiskuuredija/Puslapiai/Puodžių.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Valkininkumiskuuredija/Puslapiai/Puodžių.aspx"">valstybiniaimiskai.lt</a>"		
"Špoko"	"spoko"	"pikniks"	"neparbaudits"	"54.4036146342"	"24.9469774705"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Valkininkumiskuuredija/Puslapiai/Špoko.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Valkininkumiskuuredija/Puslapiai/Špoko.aspx"">valstybiniaimiskai.lt</a>"		
"Pažintinis takas"	"paintinis-takas"	"taka"	"neparbaudits"	"54.3513475858"	"24.8406121061"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Valkininkumiskuuredija/Puslapiai/Santakio.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Valkininkumiskuuredija/Puslapiai/Santakio.aspx"">valstybiniaimiskai.lt</a>"		
"Stovyklavietė Glūko girininkijoje"	"stovyklaviete-glko-girininkijoje"	"pikniks"	"neparbaudits"	"54.2822695002"	"24.5814579539"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Varenosmiskuuredija/Puslapiai/StovyklavietėGlūkogirininkijoje.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Varenosmiskuuredija/Puslapiai/StovyklavietėGlūkogirininkijoje.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Perlojos girininkijoje"	"poilsiaviete-perlojos-girininkijoje"	"pikniks"	"neparbaudits"	"54.1754576311"	"24.4212712416"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Varenosmiskuuredija/Puslapiai/PoilsiavietėPerlojosgirininkijoje.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Varenosmiskuuredija/Puslapiai/PoilsiavietėPerlojosgirininkijoje.aspx"">valstybiniaimiskai.lt</a>"		
"Giedavardžio poilsiavietė"	"giedavardio-poilsiaviete"	"pikniks"	"neparbaudits"	"54.1511496657"	"23.887839879"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Giedavardžiopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Giedavardžiopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Vaikystės sodas"	"vaikystes-sodas"	"taka"	"neparbaudits"	"54.1043323609"	"23.6767714947"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Vaikystėssodas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Vaikystėssodas.aspx"">valstybiniaimiskai.lt</a>"		
"Snaigynas"	"snaigynas"	"pikniks"	"neparbaudits"	"54.0991564247"	"23.722498502"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/snaigynas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/snaigynas.aspx"">valstybiniaimiskai.lt</a>"		
"Giraitės takas"	"giraites-takas"	"taka"	"neparbaudits"	"54.2481611727"	"23.5743722991"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/giraitestakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/giraitestakas.aspx"">valstybiniaimiskai.lt</a>"		
"Norkūnų miško poilsiavietė"	"norknu-misko-poilsiaviete"	"pikniks"	"neparbaudits"	"53.995427552"	"23.8279696171"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Šilas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Šilas.aspx"">valstybiniaimiskai.lt</a>"		
"Pusiasalio poilsiavietė"	"pusiasalio-poilsiaviete"	"pikniks"	"neparbaudits"	"53.9799611721"	"23.7959496332"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Testas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Testas.aspx"">valstybiniaimiskai.lt</a>"		
"Gailiagirio poilsiavietė"	"gailiagirio-poilsiaviete"	"pikniks"	"neparbaudits"	"53.9655459215"	"23.7552498945"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Gailiagiriopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Gailiagiriopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Ilgio ežero poilsiavietė"	"ilgio-eero-poilsiaviete-1"	"pikniks"	"neparbaudits"	"53.998520284"	"23.6167126665"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Ilgioežeropoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Ilgioežeropoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Kapčiamiesčio gamtos pažinimo takas"	"kapiamiesio-gamtos-painimo-takas"	"taka"	"neparbaudits"	"54.0052420093"	"23.643878539"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Kapčiamiesčiogamtospažinimotakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Veisiejumiskuuredija/Puslapiai/Kapčiamiesčiogamtospažinimotakas.aspx"">valstybiniaimiskai.lt</a>"		
"Klevinė"	"klevine"	"pikniks"	"neparbaudits"	"54.6970889682"	"25.6219819859"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Klevinė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Klevinė.aspx"">valstybiniaimiskai.lt</a>"		
"Kelmytė"	"kelmyte"	"pikniks"	"neparbaudits"	"54.5508239225"	"25.3060121328"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Kelmytė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Kelmytė.aspx"">valstybiniaimiskai.lt</a>"		
"Dūkštų ąžuolyno takas"	"dkstu-auolyno-takas"	"taka"	"neparbaudits"	"54.8332646433"	"24.9505004726"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Dūkštųąžuolynotakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Dūkštųąžuolynotakas.aspx"">valstybiniaimiskai.lt</a>"		
"Dūkštos pažintinis pėsčiųjų takas"	"dkstos-paintinis-pesiuju-takas"	"taka"	"neparbaudits"	"54.8127426489"	"24.9175158521"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Dūkštospažintinistakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Dūkštospažintinistakas.aspx"">valstybiniaimiskai.lt</a>"		
"Karmazinų pažintinis pėsčiųjų takas"	"karmazinu-paintinis-pesiuju-takas"	"taka"	"neparbaudits"	"54.8096133737"	"24.9648226885"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Karmazinųpažintinispėsčiųjųtakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Karmazinųpažintinispėsčiųjųtakas.aspx"">valstybiniaimiskai.lt</a>"		
"Elniakampio ežeras"	"elniakampio-eeras"	"pikniks"	"neparbaudits"	"54.7863428539"	"24.9714653449"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Elniakampiopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Elniakampiopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Paksinė"	"paksine"	"pikniks"	"neparbaudits"	"54.7305752774"	"25.6728956163"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Paksinė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Paksinė.aspx"">valstybiniaimiskai.lt</a>"		
"Dvarykščių poilsiavietė"	"dvaryksiu-poilsiaviete"	"pikniks"	"neparbaudits"	"54.4968893112"	"25.5248641777"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/PavėsinėLazanka.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/PavėsinėLazanka.aspx"">valstybiniaimiskai.lt</a>"		
"Linksmasis šilelis"	"linksmasis-silelis"	"pikniks"	"neparbaudits"	"54.6341752602"	"25.6876829775"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Linksmasisšilelis.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Linksmasisšilelis.aspx"">valstybiniaimiskai.lt</a>"		
"Tatarka"	"tatarka"	"pikniks"	"neparbaudits"	"54.5737935033"	"25.311072278"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Tatarka.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Vilniausmiskuuredija/Puslapiai/Tatarka.aspx"">valstybiniaimiskai.lt</a>"		
